User_ID,Cust_Name,Product_ID,Gender,Age_Group,Age,Marital_Status,State,Zone,Occupation,Books,Orders,Amount
100018,Vikram Iyer,2615,Other,36-45,22,Widowed,Maharashtra,North,Doctor,Midnight’s Children,8,2024.92
100019,Kavita Joshi,4778,Female,46-60,20,Married,Tamil Nadu,South,Engineer,The God of Small Things,2,2816.7
100020,Amit Sharma,2291,Other,46-60,44,Single,Maharashtra,East,Teacher,The Guide,8,4147.26
100021,Arjun Reddy,1567,Male,,59,Widowed,West Bengal,West,Artist,Gitanjali,5,7449.47
100022,Vikram Iyer,1581,Female,46-60,64,Widowed,Maharashtra,North,Teacher,The God of Small Things,9,2816.7
100023,Kavita Joshi,2682,Male,18-25,27,Widowed,Maharashtra,,Engineer,The God of Small Things,4,2816.7
100024,Priya Verma,4927,Female,46-60,19,Single,Delhi,Central,Business,A Suitable Boy,8,2590.53
100025,Arjun Reddy,1747,Male,26-35,46,Divorced,Maharashtra,Central,Doctor,Ramayana,6,8854.81
100026,Sanjay Mehta,1742,Male,36-45,22,Single,West Bengal,North,Artist,Interpreter of Maladies,2,6889.31
100027,Arjun Reddy,2805,Female,46-60,46,Single,Karnataka,North,,Interpreter of Maladies,9,6889.31
100028,Vikram Iyer,2276,Male,60+,,Divorced,UP,Central,Other,Gitanjali,3,7449.47
100029,Deepak Choudhary,2919,Male,60+,40,Married,UP,East,Other,A Suitable Boy,8,2590.53
100030,Sanjay Mehta,2343,Other,,49,Married,Maharashtra,East,Doctor,Gitanjali,1,7449.47
100031,Kavita Joshi,2176,Female,46-60,51,Single,Gujarat,West,,The White Tiger,7,255.08
100032,Kavita Joshi,4767,Other,60+,67,Married,West Bengal,East,Doctor,Interpreter of Maladies,9,6889.31
100033,Rahul Singh,3277,Male,26-35,56,Married,West Bengal,West,Doctor,The White Tiger,5,255.08
100034,Arjun Reddy,4512,Other,18-25,19,,Karnataka,North,Engineer,Malgudi Days,6,7435
100035,Priya Verma,3624,Female,26-35,19,Married,West Bengal,South,Business,Ramayana,7,8854.81
100036,Rahul Singh,3993,Other,18-25,58,Married,Karnataka,South,Engineer,The God of Small Things,4,2816.7
100037,Priya Verma,3143,Female,26-35,45,Divorced,UP,North,Other,Midnight’s Children,1,2024.92
100038,Rahul Singh,3239,Female,60+,18,Single,UP,East,Business,Midnight’s Children,6,2024.92
100039,Deepak Choudhary,4372,Female,46-60,50,Divorced,Karnataka,West,Doctor,The White Tiger,1,255.08
100040,Neha Gupta,3597,Other,26-35,31,Married,West Bengal,South,Artist,A Suitable Boy,4,2590.53
100041,Arjun Reddy,4455,Male,18-25,19,Single,Delhi,West,,Midnight’s Children,,2024.92
100042,Kavita Joshi,3827,Female,26-35,64,Widowed,Gujarat,Central,Artist,Midnight’s Children,8,2024.92
100043,Amit Sharma,,Other,46-60,50,Widowed,UP,South,Other,Midnight’s Children,1,2024.92
100044,Rahul Singh,,Other,26-35,66,Divorced,Karnataka,Central,Doctor,The Guide,,4147.26
100045,Priya Verma,4966,Female,36-45,65,,Tamil Nadu,West,Doctor,The Guide,1,4147.26
100046,Deepak Choudhary,3577,Other,26-35,53,Widowed,UP,Central,Other,A Suitable Boy,7,2590.53
100047,Kavita Joshi,2358,Male,60+,18,Married,Karnataka,West,Artist,The God of Small Things,1,2816.7
100048,Amit Sharma,1196,Other,60+,,Widowed,Delhi,East,Doctor,The White Tiger,3,255.08
100049,Arjun Reddy,,Other,18-25,44,Single,West Bengal,North,,The White Tiger,6,255.08
100050,Amit Sharma,2514,Female,18-25,20,Married,Tamil Nadu,South,Engineer,The White Tiger,2,255.08
100051,Neha Gupta,,,60+,41,Single,West Bengal,North,Teacher,The Guide,3,4147.26
100052,Rahul Singh,3269,Male,26-35,39,Married,Maharashtra,North,Engineer,Midnight’s Children,4,2024.92
100053,Neha Gupta,1942,Male,26-35,69,Divorced,Maharashtra,East,Engineer,A Suitable Boy,9,2590.53
100054,Sanjay Mehta,2488,Female,18-25,28,Single,West Bengal,West,Teacher,The White Tiger,6,255.08
100055,Priya Verma,2653,Other,26-35,,Single,Gujarat,Central,Teacher,Interpreter of Maladies,8,6889.31
100056,Rahul Singh,3129,Male,18-25,53,Divorced,Delhi,North,Artist,Train to Pakistan,6,6049.98
100057,Deepak Choudhary,3652,,18-25,29,Divorced,UP,South,Other,Midnight’s Children,7,2024.92
100058,Rahul Singh,1017,Other,60+,61,Widowed,Gujarat,West,Other,Malgudi Days,8,7435
100059,Arjun Reddy,3883,Male,18-25,60,Divorced,Karnataka,North,Doctor,Interpreter of Maladies,3,6889.31
100060,Sanjay Mehta,2414,Other,60+,34,Married,UP,East,Doctor,A Suitable Boy,5,2590.53
100061,Rahul Singh,3726,Male,26-35,35,Widowed,Gujarat,Central,Other,Ramayana,6,8854.81
100062,Vikram Iyer,3661,Female,36-45,24,Widowed,West Bengal,,Business,Gitanjali,1,7449.47
,Neha Gupta,2385,,36-45,42,Married,Gujarat,South,Business,Malgudi Days,6,7435
100064,Amit Sharma,3429,Male,36-45,29,Widowed,UP,East,Teacher,The God of Small Things,3,2816.7
100065,Priya Verma,3442,Male,26-35,52,Divorced,West Bengal,South,Artist,A Suitable Boy,,2590.53
100066,Anjali Nair,2917,Female,18-25,49,Married,Gujarat,North,Teacher,The White Tiger,1,255.08
100067,Arjun Reddy,3866,Female,46-60,37,Divorced,Maharashtra,Central,Doctor,Midnight’s Children,3,2024.92
100068,Arjun Reddy,3512,Male,60+,61,Single,West Bengal,Central,Engineer,Malgudi Days,8,7435
,Deepak Choudhary,4477,Female,26-35,35,Widowed,Delhi,West,Engineer,Midnight’s Children,,2024.92
100070,Vikram Iyer,3210,Other,60+,22,Married,Gujarat,Central,Teacher,The White Tiger,8,255.08
,Neha Gupta,,Male,18-25,24,Single,Maharashtra,West,Engineer,The Guide,9,4147.26
100072,Neha Gupta,4773,Other,26-35,,Divorced,West Bengal,South,Business,The Guide,8,4147.26
100073,Kavita Joshi,2070,Female,36-45,,Widowed,Tamil Nadu,Central,Business,The Guide,9,4147.26
100074,Vikram Iyer,3548,Female,60+,52,Divorced,West Bengal,Central,Doctor,The God of Small Things,3,2816.7
100075,Kavita Joshi,2649,Female,60+,36,Married,Delhi,West,Teacher,Midnight’s Children,5,2024.92
100076,Priya Verma,,Female,26-35,29,Married,Delhi,East,Artist,Gitanjali,2,7449.47
100077,Kavita Joshi,4850,Other,60+,23,Widowed,Karnataka,Central,Artist,The God of Small Things,4,2816.7
100078,Sanjay Mehta,3367,Other,46-60,,Single,UP,Central,Other,Midnight’s Children,1,2024.92
100079,Neha Gupta,3159,Female,46-60,,Married,West Bengal,Central,Teacher,The White Tiger,9,255.08
100080,Arjun Reddy,2493,Female,60+,53,Single,,West,Artist,Gitanjali,9,7449.47
100081,Amit Sharma,2489,Female,60+,59,,Gujarat,South,Other,The God of Small Things,5,2816.7
100082,Deepak Choudhary,2049,Male,18-25,64,Widowed,West Bengal,Central,Business,Train to Pakistan,2,6049.98
100083,Vikram Iyer,3974,Male,36-45,29,Married,Maharashtra,West,Business,Train to Pakistan,6,6049.98
,Rahul Singh,2244,Other,18-25,53,Widowed,Maharashtra,North,Teacher,A Suitable Boy,2,2590.53
100085,Kavita Joshi,4995,Other,18-25,26,Single,Delhi,East,Business,Interpreter of Maladies,3,6889.31
100086,Priya Verma,4681,Female,18-25,65,Single,West Bengal,East,Teacher,The White Tiger,3,255.08
100087,Arjun Reddy,4487,Other,46-60,68,Widowed,Maharashtra,,Other,Gitanjali,8,7449.47
100088,Vikram Iyer,2415,Male,18-25,,Widowed,West Bengal,Central,Artist,The God of Small Things,9,2816.7
100089,Rahul Singh,4495,,26-35,51,Divorced,Delhi,North,Artist,The White Tiger,2,255.08
100090,Amit Sharma,1552,Male,26-35,35,Married,,North,Engineer,The God of Small Things,3,2816.7
100091,Anjali Nair,3996,Other,60+,56,Divorced,Delhi,North,Doctor,Midnight’s Children,8,2024.92
100092,Deepak Choudhary,1158,Female,36-45,,Divorced,Gujarat,West,Doctor,Midnight’s Children,9,2024.92
100093,Arjun Reddy,3627,Female,26-35,52,Widowed,West Bengal,South,Business,A Suitable Boy,6,2590.53
100094,Deepak Choudhary,3708,Female,26-35,20,Divorced,Tamil Nadu,North,Artist,Gitanjali,5,7449.47
100095,Vikram Iyer,1597,Male,26-35,46,Widowed,Maharashtra,West,Other,The White Tiger,5,255.08
100096,Deepak Choudhary,3941,Female,18-25,69,Married,Gujarat,West,Teacher,The God of Small Things,1,2816.7
100097,Rahul Singh,1637,Female,60+,18,Divorced,West Bengal,North,Other,A Suitable Boy,9,2590.53
100098,Deepak Choudhary,4774,Other,26-35,,Divorced,Karnataka,,,A Suitable Boy,4,2590.53
100099,Anjali Nair,1193,Male,60+,50,Divorced,Maharashtra,South,Artist,Malgudi Days,6,7435
100100,Arjun Reddy,2553,,26-35,56,Divorced,Tamil Nadu,Central,Other,The White Tiger,3,255.08
100101,Kavita Joshi,4751,Male,26-35,31,Divorced,UP,Central,Teacher,Midnight’s Children,2,2024.92
100102,Rahul Singh,2314,Female,46-60,,Widowed,Karnataka,Central,Engineer,The White Tiger,7,255.08
100103,Deepak Choudhary,3285,Male,60+,26,Divorced,West Bengal,East,Business,Train to Pakistan,3,6049.98
,Priya Verma,2549,Male,46-60,30,Single,Delhi,East,Artist,A Suitable Boy,3,2590.53
100105,Vikram Iyer,1316,Other,46-60,44,Divorced,Gujarat,South,Teacher,Midnight’s Children,5,2024.92
100106,Priya Verma,3652,Male,46-60,53,Single,West Bengal,South,Artist,Gitanjali,3,7449.47
100107,Sanjay Mehta,4338,Other,26-35,69,Widowed,Maharashtra,South,Business,Malgudi Days,6,7435
100108,Amit Sharma,3901,Male,60+,35,Divorced,,East,,A Suitable Boy,3,2590.53
,Amit Sharma,1342,Other,46-60,33,Widowed,Tamil Nadu,North,Engineer,The White Tiger,3,255.08
,Vikram Iyer,4704,Female,46-60,69,,Gujarat,North,Business,Malgudi Days,4,7435
100111,Sanjay Mehta,1261,Male,26-35,32,Married,UP,West,Doctor,The God of Small Things,1,2816.7
100112,Vikram Iyer,1572,Female,36-45,67,Widowed,Tamil Nadu,West,Other,The God of Small Things,8,2816.7
100113,Kavita Joshi,3662,Male,36-45,69,Widowed,Delhi,West,Artist,Interpreter of Maladies,7,6889.31
100114,Anjali Nair,3213,Other,60+,48,,Maharashtra,South,Teacher,The Guide,4,4147.26
100115,Amit Sharma,2354,Male,46-60,65,,Tamil Nadu,Central,Doctor,Midnight’s Children,8,2024.92
100116,Amit Sharma,4738,Male,60+,34,Divorced,Maharashtra,Central,Business,Malgudi Days,7,7435
100117,Anjali Nair,4900,Other,18-25,62,Widowed,West Bengal,East,Business,Train to Pakistan,,6049.98
100118,Amit Sharma,4823,Female,36-45,50,Married,Maharashtra,Central,Other,The Guide,4,4147.26
100119,Vikram Iyer,4630,Female,26-35,27,Widowed,West Bengal,Central,Business,Interpreter of Maladies,2,6889.31
100120,Arjun Reddy,4632,Male,36-45,55,Married,UP,North,Artist,Midnight’s Children,1,2024.92
,Arjun Reddy,3753,Other,60+,55,Single,West Bengal,South,Other,The God of Small Things,7,2816.7
100122,Deepak Choudhary,3748,Male,46-60,32,Widowed,UP,Central,Artist,Interpreter of Maladies,9,6889.31
,Vikram Iyer,1473,Other,36-45,46,Widowed,UP,East,Artist,The Guide,6,4147.26
100124,Amit Sharma,3088,Other,60+,25,Widowed,West Bengal,North,Teacher,Midnight’s Children,7,2024.92
100125,Arjun Reddy,2850,Other,60+,41,Single,Tamil Nadu,North,Teacher,The Guide,4,4147.26
100126,Amit Sharma,1267,Other,18-25,62,Single,Tamil Nadu,North,Business,A Suitable Boy,,2590.53
100127,Deepak Choudhary,3097,Female,60+,44,Widowed,Karnataka,Central,Doctor,The God of Small Things,1,2816.7
100128,Vikram Iyer,1334,Other,46-60,43,Married,Delhi,South,Other,Train to Pakistan,4,6049.98
100129,Deepak Choudhary,4280,Female,18-25,35,Married,Delhi,North,Business,Train to Pakistan,1,6049.98
100130,Arjun Reddy,1114,Female,46-60,41,Married,West Bengal,West,Engineer,A Suitable Boy,1,2590.53
100131,Sanjay Mehta,1665,Other,18-25,43,Widowed,West Bengal,North,Engineer,The God of Small Things,3,2816.7
100132,Priya Verma,4689,Female,60+,38,Single,UP,West,Business,A Suitable Boy,1,2590.53
100133,Sanjay Mehta,1323,Other,60+,34,Single,Gujarat,Central,Artist,The Guide,4,4147.26
100134,Sanjay Mehta,4032,Male,26-35,31,Widowed,Tamil Nadu,Central,Doctor,The Guide,5,4147.26
100135,Kavita Joshi,2620,Other,46-60,57,Widowed,Delhi,East,Business,Malgudi Days,5,7435
100136,Deepak Choudhary,4080,Female,60+,51,Widowed,Delhi,West,Teacher,Interpreter of Maladies,1,6889.31
100137,Priya Verma,3405,Other,60+,43,Widowed,Gujarat,East,Engineer,Malgudi Days,3,7435
100138,Arjun Reddy,4702,Other,18-25,36,,UP,West,Teacher,A Suitable Boy,8,2590.53
100139,Neha Gupta,4771,Female,36-45,56,Widowed,UP,West,Doctor,A Suitable Boy,5,2590.53
100140,Rahul Singh,,Other,60+,19,Married,Delhi,South,Other,Ramayana,5,8854.81
100141,Rahul Singh,3903,Other,36-45,61,,Karnataka,West,Other,The Guide,,4147.26
100142,Kavita Joshi,3336,Other,18-25,68,Single,Delhi,North,Engineer,The God of Small Things,8,2816.7
100143,Sanjay Mehta,4534,Other,26-35,37,,UP,West,Engineer,Ramayana,,8854.81
100144,Priya Verma,3435,Other,18-25,41,Divorced,UP,Central,Artist,A Suitable Boy,1,2590.53
100145,Priya Verma,1265,Male,18-25,45,Single,Tamil Nadu,South,Artist,Malgudi Days,7,7435
100146,Deepak Choudhary,3964,,46-60,35,Divorced,Delhi,Central,Business,Train to Pakistan,4,6049.98
100147,Kavita Joshi,3935,Male,36-45,46,Widowed,West Bengal,North,Teacher,Gitanjali,8,7449.47
100148,Deepak Choudhary,2490,Other,46-60,36,Divorced,Maharashtra,South,Doctor,The White Tiger,2,255.08
100149,Sanjay Mehta,2676,Female,18-25,40,Married,West Bengal,East,Other,Ramayana,9,8854.81
100150,Arjun Reddy,2272,Male,18-25,43,Widowed,UP,South,Engineer,The White Tiger,9,255.08
100151,Anjali Nair,,,18-25,21,Widowed,Maharashtra,Central,Other,Ramayana,6,8854.81
100152,Anjali Nair,4566,Other,18-25,67,Divorced,Maharashtra,Central,Artist,Midnight’s Children,4,2024.92
100153,Vikram Iyer,1725,Male,26-35,42,Single,Karnataka,West,Doctor,Train to Pakistan,4,6049.98
100154,Kavita Joshi,2313,Male,26-35,42,Divorced,Gujarat,North,Doctor,Gitanjali,2,7449.47
100155,Amit Sharma,3429,Male,18-25,60,Divorced,Maharashtra,North,Artist,Midnight’s Children,1,2024.92
100156,Vikram Iyer,2085,Female,,,Divorced,West Bengal,North,Business,A Suitable Boy,4,2590.53
100157,Amit Sharma,3265,Female,18-25,20,Married,Gujarat,West,Business,Malgudi Days,3,7435
100158,Priya Verma,1644,Other,36-45,42,Divorced,Tamil Nadu,East,Engineer,The God of Small Things,1,2816.7
100159,Neha Gupta,3591,Male,46-60,25,Married,Gujarat,North,Other,Train to Pakistan,8,6049.98
100160,Deepak Choudhary,2047,Male,26-35,69,Single,Maharashtra,,Artist,The White Tiger,1,255.08
100161,Arjun Reddy,1022,Male,26-35,28,Widowed,Delhi,,Engineer,Midnight’s Children,6,2024.92
100162,Sanjay Mehta,2316,,46-60,23,Married,West Bengal,North,Engineer,The God of Small Things,6,2816.7
100163,Priya Verma,3123,Other,36-45,22,Single,UP,Central,Business,Malgudi Days,7,7435
100164,Kavita Joshi,3717,,26-35,43,Single,West Bengal,South,Business,Interpreter of Maladies,4,6889.31
100165,Rahul Singh,4814,,46-60,39,Single,Maharashtra,South,Artist,Ramayana,5,8854.81
100166,Deepak Choudhary,2552,Other,36-45,30,Married,UP,North,Artist,Malgudi Days,3,7435
100167,Sanjay Mehta,4145,Male,60+,32,Widowed,Gujarat,North,Doctor,Midnight’s Children,2,2024.92
100168,Arjun Reddy,2642,Female,46-60,66,Divorced,UP,North,Artist,Malgudi Days,5,7435
100169,Amit Sharma,4765,Male,36-45,67,Single,,South,Artist,Train to Pakistan,8,6049.98
100170,Rahul Singh,2333,Male,18-25,43,Married,Karnataka,Central,Artist,Gitanjali,4,7449.47
100171,Amit Sharma,3325,Female,36-45,61,Single,West Bengal,West,Doctor,Ramayana,9,8854.81
,Vikram Iyer,3087,Female,60+,23,Widowed,West Bengal,East,Teacher,Midnight’s Children,8,2024.92
100173,Priya Verma,3197,Other,36-45,67,Divorced,West Bengal,North,Teacher,Gitanjali,8,7449.47
100174,Sanjay Mehta,2640,Male,18-25,,Divorced,Tamil Nadu,West,Business,Malgudi Days,5,7435
100175,Kavita Joshi,3147,Female,60+,38,,Gujarat,North,Engineer,Gitanjali,7,7449.47
100176,Arjun Reddy,4007,Female,18-25,29,Divorced,,East,Other,A Suitable Boy,,2590.53
100177,Neha Gupta,3789,Female,46-60,66,Divorced,West Bengal,East,Engineer,The Guide,6,4147.26
,Neha Gupta,4697,Other,60+,61,Widowed,Maharashtra,North,Teacher,The God of Small Things,6,2816.7
100179,Vikram Iyer,3133,Female,26-35,59,Divorced,West Bengal,Central,Doctor,Midnight’s Children,4,2024.92
100180,Sanjay Mehta,3489,Other,26-35,33,Single,Gujarat,East,Business,The God of Small Things,3,2816.7
100181,Neha Gupta,4684,Other,26-35,22,Divorced,Karnataka,North,Artist,The White Tiger,7,255.08
,Anjali Nair,2581,Female,36-45,23,Divorced,Tamil Nadu,,Other,The White Tiger,2,255.08
100183,Priya Verma,,Female,60+,44,Married,Delhi,South,Engineer,The White Tiger,3,255.08
100184,Amit Sharma,1276,Female,60+,31,Widowed,Karnataka,Central,Engineer,The White Tiger,7,255.08
100185,Deepak Choudhary,3667,Other,36-45,50,Widowed,Tamil Nadu,South,Teacher,Train to Pakistan,5,6049.98
100186,Rahul Singh,4231,Other,,33,Divorced,Delhi,South,Teacher,Train to Pakistan,2,6049.98
100187,Kavita Joshi,4708,Male,46-60,,Divorced,Gujarat,West,Teacher,The White Tiger,3,255.08
100188,Neha Gupta,4924,Female,26-35,32,Married,Delhi,North,Other,Ramayana,8,8854.81
100189,Neha Gupta,4510,Female,60+,51,Married,,East,Engineer,Train to Pakistan,5,6049.98
100190,Priya Verma,1936,Female,26-35,52,Widowed,UP,West,Other,The White Tiger,,255.08
100191,Rahul Singh,4957,Male,46-60,26,Married,West Bengal,South,Business,A Suitable Boy,7,2590.53
100192,Sanjay Mehta,4439,Female,26-35,59,Married,UP,Central,Other,Train to Pakistan,5,6049.98
100193,Kavita Joshi,2978,Other,60+,61,Widowed,Gujarat,North,,The White Tiger,2,255.08
100194,Sanjay Mehta,4943,Other,46-60,27,Single,Tamil Nadu,Central,Other,Interpreter of Maladies,9,6889.31
100195,Arjun Reddy,3541,Female,26-35,33,Widowed,Karnataka,East,Doctor,The God of Small Things,7,2816.7
100196,Priya Verma,4215,Female,18-25,,Single,Tamil Nadu,South,Engineer,Gitanjali,8,7449.47
100197,Sanjay Mehta,2672,Male,36-45,46,Single,Maharashtra,East,,The White Tiger,9,255.08
100198,Rahul Singh,3609,Male,46-60,29,Married,West Bengal,Central,Artist,Train to Pakistan,9,6049.98
100199,Kavita Joshi,,Female,46-60,33,Widowed,Gujarat,South,Teacher,A Suitable Boy,5,2590.53
100200,Sanjay Mehta,2902,Other,18-25,43,Single,Maharashtra,North,Business,The God of Small Things,4,2816.7
100201,Kavita Joshi,1784,Female,26-35,53,Widowed,Gujarat,West,Other,Gitanjali,5,7449.47
100202,Arjun Reddy,1757,Other,46-60,55,Divorced,Gujarat,West,Artist,Gitanjali,2,7449.47
100203,Rahul Singh,4575,Other,26-35,65,Widowed,Tamil Nadu,,Teacher,Interpreter of Maladies,,6889.31
,Vikram Iyer,2178,Other,18-25,,Single,Maharashtra,Central,Doctor,The Guide,5,4147.26
100205,Arjun Reddy,1250,Other,36-45,20,Widowed,Gujarat,South,,A Suitable Boy,5,2590.53
100206,Neha Gupta,1699,,46-60,34,Widowed,Delhi,Central,Doctor,Gitanjali,7,7449.47
100207,Sanjay Mehta,4916,Male,18-25,51,Divorced,Gujarat,North,,Ramayana,,8854.81
100208,Arjun Reddy,3639,Female,18-25,55,Single,Maharashtra,South,Teacher,The God of Small Things,9,2816.7
100209,Anjali Nair,4687,Other,18-25,,Single,Gujarat,Central,Other,Midnight’s Children,2,2024.92
100210,Amit Sharma,3041,Female,60+,45,Divorced,West Bengal,West,Other,The White Tiger,7,255.08
100211,Rahul Singh,3011,Other,36-45,20,Married,Tamil Nadu,East,Business,Malgudi Days,6,7435
100212,Vikram Iyer,,Male,26-35,47,Divorced,Tamil Nadu,East,Artist,The White Tiger,,255.08
100213,Kavita Joshi,3326,Other,46-60,41,Widowed,Delhi,Central,Artist,The White Tiger,1,255.08
100214,Amit Sharma,1522,Female,36-45,52,Widowed,,North,Artist,Gitanjali,7,7449.47
100215,Sanjay Mehta,2494,Female,60+,43,Widowed,Karnataka,West,,A Suitable Boy,1,2590.53
100216,Vikram Iyer,3185,Male,26-35,40,Married,West Bengal,,Other,The Guide,1,4147.26
100217,Deepak Choudhary,,Other,18-25,53,Divorced,West Bengal,South,Other,Gitanjali,9,7449.47
100218,Kavita Joshi,,Female,46-60,53,Married,UP,North,Business,The White Tiger,3,255.08
100219,Rahul Singh,4477,Male,36-45,46,Single,Tamil Nadu,South,Artist,The White Tiger,7,255.08
100220,Sanjay Mehta,1356,Other,18-25,69,Divorced,Gujarat,North,Teacher,The White Tiger,4,255.08
100221,Deepak Choudhary,3258,Male,60+,46,Divorced,Gujarat,West,,A Suitable Boy,8,2590.53
100222,Arjun Reddy,4155,Male,46-60,31,Single,Delhi,Central,Other,Interpreter of Maladies,3,6889.31
100223,Deepak Choudhary,1423,Other,18-25,27,Single,Maharashtra,Central,Doctor,A Suitable Boy,1,2590.53
100224,Anjali Nair,2264,Male,36-45,18,Divorced,Gujarat,,Teacher,The White Tiger,4,255.08
100225,Sanjay Mehta,,Male,,,Divorced,Gujarat,North,Engineer,Gitanjali,3,7449.47
100226,Neha Gupta,4424,Female,36-45,58,Single,Gujarat,Central,Business,The White Tiger,,255.08
100227,Neha Gupta,,Other,46-60,55,Widowed,,West,Artist,The White Tiger,3,255.08
100228,Rahul Singh,3198,Female,18-25,44,Single,Gujarat,West,Artist,Train to Pakistan,7,6049.98
100229,Priya Verma,4619,Male,60+,57,Divorced,Delhi,North,Teacher,Train to Pakistan,9,6049.98
,Vikram Iyer,3173,Female,60+,60,Married,Karnataka,North,Other,Train to Pakistan,2,6049.98
,Deepak Choudhary,2500,Male,46-60,56,Widowed,Tamil Nadu,North,Teacher,Midnight’s Children,5,2024.92
100232,Rahul Singh,2658,,60+,58,,Delhi,West,Artist,The White Tiger,6,255.08
100233,Priya Verma,3080,Female,36-45,36,Single,UP,West,Business,The Guide,8,4147.26
100234,Priya Verma,1423,Other,,35,Divorced,Tamil Nadu,,Other,Malgudi Days,9,7435
100235,Sanjay Mehta,4860,Other,36-45,38,Divorced,West Bengal,North,Other,The White Tiger,9,255.08
100236,Neha Gupta,4111,Female,18-25,47,Widowed,Tamil Nadu,South,Doctor,Interpreter of Maladies,7,6889.31
100237,Deepak Choudhary,1488,Male,,54,Divorced,Delhi,North,Other,Gitanjali,7,7449.47
,Rahul Singh,2001,Other,26-35,40,Single,West Bengal,South,Business,Midnight’s Children,1,2024.92
100239,Priya Verma,4219,Other,18-25,38,Married,Delhi,North,Teacher,The God of Small Things,6,2816.7
,Anjali Nair,4095,Female,36-45,33,Divorced,UP,,Doctor,Interpreter of Maladies,5,6889.31
100241,Priya Verma,1988,Female,,67,Single,West Bengal,South,Artist,Ramayana,3,8854.81
100242,Amit Sharma,2109,Female,46-60,60,Married,Karnataka,West,Artist,Midnight’s Children,7,2024.92
100243,Neha Gupta,3354,Female,26-35,64,Widowed,,North,Business,Train to Pakistan,8,6049.98
100244,Neha Gupta,2975,Other,46-60,59,Widowed,UP,East,Other,Train to Pakistan,2,6049.98
100245,Sanjay Mehta,4993,Female,46-60,32,Married,Gujarat,South,Other,Gitanjali,9,7449.47
100246,Anjali Nair,2216,Other,18-25,46,,Maharashtra,,,Ramayana,7,8854.81
100247,Kavita Joshi,2334,Other,60+,33,Divorced,Gujarat,South,Teacher,Interpreter of Maladies,9,6889.31
100248,Vikram Iyer,3152,Female,46-60,29,Divorced,Gujarat,North,Engineer,The God of Small Things,8,2816.7
100249,Amit Sharma,1991,Female,46-60,27,Widowed,Maharashtra,South,Teacher,Malgudi Days,7,7435
100250,Kavita Joshi,2575,Female,46-60,38,Widowed,Delhi,West,Doctor,Interpreter of Maladies,2,6889.31
100251,Arjun Reddy,2508,Female,26-35,20,Widowed,,Central,Other,Train to Pakistan,7,6049.98
100252,Neha Gupta,3246,Other,18-25,43,Divorced,Tamil Nadu,West,Artist,Malgudi Days,1,7435
100253,Amit Sharma,2024,Male,18-25,25,Widowed,,West,Teacher,Ramayana,7,8854.81
100254,Vikram Iyer,3746,Male,60+,40,Widowed,Karnataka,South,Other,The Guide,3,4147.26
100255,Kavita Joshi,4776,Male,18-25,58,Divorced,Delhi,West,,The White Tiger,5,255.08
100256,Neha Gupta,2414,Other,26-35,50,Single,UP,West,Business,Gitanjali,7,7449.47
100257,Deepak Choudhary,3094,Male,18-25,,Single,Tamil Nadu,West,Artist,A Suitable Boy,9,2590.53
100258,Neha Gupta,2883,Female,26-35,68,,Gujarat,North,Doctor,Gitanjali,5,7449.47
100259,Arjun Reddy,4169,Male,18-25,42,Widowed,Maharashtra,East,Other,The Guide,7,4147.26
,Kavita Joshi,1959,Male,,24,Married,Gujarat,West,Business,The White Tiger,3,255.08
